prof.norm
10.81s of 11.26s total (96.00%)
Dropped 64 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
     0.05s  2.79% 73.18%      0.05s  2.79%  runtime.memclr
     0.05s  2.79% 75.98%      0.05s  2.79%  runtime.newdefer
     0.04s  2.23% 78.21%      0.09s  5.03%  bytes.(*Buffer).WriteString
     0.04s  2.23% 80.45%      0.04s  2.23%  runtime.freedefer
     0.04s  2.23% 82.68%      0.04s  2.23%  runtime.memmove
     0.04s  2.23% 84.92%      0.20s 11.17%  sync.(*Mutex).Lock
     0.03s  1.68% 86.59%      0.03s  1.68%  bytes.(*Buffer).grow
     0.03s  1.68% 88.27%      0.09s  5.03%  runtime.deferproc.func1
     0.03s  1.68% 89.94%      0.03s  1.68%  runtime.mach_semaphore_timedwait
     0.03s  1.68% 91.62%      0.03s  1.68%  runtime.mach_semaphore_wait
     0.03s  1.68% 93.30%      0.03s  1.68%  runtime.scanstack
     0.02s  1.12% 94.41%      0.76s 42.46%  github.com/jdamick/go-pools/buffers.(*FixedBufferPool).Put
     0.02s  1.12% 95.53%      0.02s  1.12%  runtime.jmpdefer
     0.01s  0.56% 96.09%      0.01s  0.56%  bytes.(*Buffer).Truncate
     0.01s  0.56% 96.65%      0.01s  0.56%  runtime.(*mheap).alloc.func1
     0.01s  0.56% 97.21%      0.01s  0.56%  runtime.callers
     0.01s  0.56% 97.77%      0.12s  6.70%  runtime.deferproc
     0.01s  0.56% 98.32%      0.01s  0.56%  runtime.getcallersp
     0.01s  0.56% 98.88%      0.01s  0.56%  runtime.lock
     0.01s  0.56% 99.44%      0.01s  0.56%  runtime.return0
     0.01s  0.56%   100%      0.01s  0.56%  runtime.usleep
         0     0%   100%      0.01s  0.56%  bytes.(*Buffer).Reset
         0     0%   100%      1.59s 88.83%  main.main
         0     0%   100%      0.01s  0.56%  runtime.(*gcWork).get
         0     0%   100%      0.07s  3.91%  runtime.(*mcache).nextFree
         0     0%   100%      0.06s  3.35%  runtime.(*mcache).nextFree.func1
         0     0%   100%      0.06s  3.35%  runtime.(*mcache).refill
         0     0%   100%      0.06s  3.35%  runtime.(*mcentral).cacheSpan
         0     0%   100%      0.05s  2.79%  runtime.(*mcentral).grow
         0     0%   100%      0.05s  2.79%  runtime.(*mheap).alloc
         0     0%   100%      0.07s  3.91%  runtime._System
         0     0%   100%      0.04s  2.23%  runtime.deferreturn.func1
         0     0%   100%      0.04s  2.23%  runtime.findrunnable
         0     0%   100%      0.06s  3.35%  runtime.gcBgMarkWorker
         0     0%   100%      0.04s  2.23%  runtime.gcDrain
         0     0%   100%      0.03s  1.68%  runtime.gcMarkDone
         0     0%   100%      0.11s  6.15%  runtime.gcStart
         0     0%   100%      0.01s  0.56%  runtime.gchelper
         0     0%   100%      0.01s  0.56%  runtime.gcstopm
         0     0%   100%      0.01s  0.56%  runtime.getfull
         0     0%   100%      1.65s 92.18%  runtime.goexit
         0     0%   100%      0.02s  1.12%  runtime.gopreempt_m
         0     0%   100%      0.02s  1.12%  runtime.goschedImpl
         0     0%   100%      0.01s  0.56%  runtime.mProf_Malloc
         0     0%   100%      0.14s  7.82%  runtime.mach_semrelease
         0     0%   100%      1.59s 88.83%  runtime.main
         0     0%   100%      0.03s  1.68%  runtime.markroot
         0     0%   100%      0.03s  1.68%  runtime.markroot.func1
         0     0%   100%      0.05s  2.79%  runtime.mcall
         0     0%   100%      0.02s  1.12%  runtime.morestack
         0     0%   100%      0.42s 23.46%  runtime.newobject
         0     0%   100%      0.02s  1.12%  runtime.newstack
         0     0%   100%      0.03s  1.68%  runtime.notesleep
